task_id,qwen2.5:0.5b,qwen2.5:1.5b,qwen2.5-coder:0.5b,qwen2.5-coder:1.5b,qwen3-0.6b,qwen3-1.7b,qwen3-0.6b with rig
std-006-new-00000,False,False,False,False,False,False,False
std-006-new-00002,False,False,False,False,False,False,False
std-005-new-00008,False,False,False,False,True,True,False
std-005-new-00004,False,False,False,False,False,False,False
std-005-new-00003,False,False,False,False,False,False,False
std-005-new-00006,False,False,False,False,True,True,False
std-005-new-00007,False,False,False,False,False,False,False
std-005-new-00005,False,False,False,False,False,False,False
std-004-Q30-00005,False,False,False,False,False,False,False
std-005-new-00000,False,False,False,False,False,False,False
std-005-new-00001,False,False,False,False,False,False,False
std-005-new-00002,False,False,False,False,False,False,False
std-004-Q30-00004,False,False,False,False,False,False,False
std-004-Q30-00001,False,False,False,False,False,False,False
std-004-Q30-00003,False,False,False,False,False,False,False
std-004-Q30-00002,False,False,False,False,False,False,False
std-004-Q30-00000,False,False,False,False,False,False,False
std-004-Q47-00000,False,False,False,False,False,False,False
std-004-N41-00003,False,False,False,True,True,True,True
std-004-N4-00000,False,False,False,False,False,False,False
std-004-N225-00000,False,False,False,False,False,False,False
std-004-N41-00002,False,False,False,False,False,True,True
std-004-Q19-00000,False,False,False,False,True,True,True
std-004-N37-00000,False,False,False,False,False,True,False
std-004-Q49-00001,False,False,False,False,True,False,False
std-004-N41-00001,False,False,False,False,True,True,True
std-004-N41-00000,False,False,False,True,True,True,True
std-004-Q09-00000,False,False,False,False,False,True,False
std-004-N11-00000,False,False,False,False,False,False,False
std-004-Q49-00000,False,False,False,False,False,False,False
std-003-ac-00004,False,False,False,False,True,True,False
std-003-ac-00003,False,False,False,False,False,True,False
std-003-ac-00005,False,False,False,False,False,False,False
std-003-ac-00002,False,False,False,False,False,True,False
std-003-ac-00000,False,False,False,False,True,True,True
std-003-ac-00001,False,False,False,True,False,False,False
std-002-environment-00003,False,False,False,False,False,False,False
std-002-environment-00002,False,False,False,False,False,False,False
std-001-stock-00005,False,False,False,False,False,False,False
std-002-environment-00000,False,False,False,False,False,False,False
std-001-stock-00006,False,False,False,False,False,False,False
std-002-environment-00001,False,False,False,False,False,False,False
std-001-stock-00003,False,False,False,False,False,False,False
std-001-stock-00004,False,False,False,False,False,False,False
std-001-stock-00002,False,False,False,False,False,False,False
std-001-stock-00001,False,False,False,False,False,False,False
std-001-stock-00000,False,False,False,False,False,False,False
std-002-environment-00004,False,False,False,False,False,False,False
